date,index,index_changes__change,index_changes__ltp,indices_age_away_from__from_30w_ema,quarterly_percentage_change_indices__change,weekly_percentage_change_indices__change
2026-09-09,NIFTYCHEMICALS,-0.2315,30097.25,2.5442,1.6267,-0.0151
2026-09-09,NIFTYCOMMODITIES,0.6449,9738.5996,-0.5308,-0.555,-0.6656
2026-09-09,NIFTYCONSUMPTION,-0.3259,11531.6504,-1.1729,0.1455,-0.5695
2026-09-09,NIFTYFINSERVICE,-1.2405,25376.8008,-3.2523,-4.4352,-2.588
2026-09-09,NIFTYFMCG,-0.9631,45309.25,-7.998,-7.1421,-1.2714
2026-09-09,NIFTYHEALTHCARE,-0.2614,16581.1504,5.1821,2.7349,1.055
2026-09-09,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-09,NIFTYINDDEFENCE,-1.0661,9892.0996,8.5367,3.9152,1.8875
2026-09-09,NIFTYLARGEMID250,-0.5742,16459.3008,0.007,-0.1035,-1.1744
2026-09-09,NIFTYMEDIA,-0.9185,1526.45,1.3386,3.2501,-2.4913
2026-09-09,NIFTYMETAL,1.7897,13391.4004,6.6702,6.9673,0.5553
2026-09-09,NIFTYMICROCAP250,-0.1501,26675.3008,9.3419,6.0903,0.7901
2026-09-09,NIFTYMIDCAP150,-0.4288,22990.9492,2.0272,0.9515,-0.7657
2026-09-09,NIFTYMIDCAP50,-0.5466,17994.0996,2.7041,2.2688,-0.7373
2026-09-09,NIFTYMIDSELECT,-0.4645,14604.4004,2.366,1.2342,-0.7425
2026-09-09,NIFTYMIDSMALLCAP400,-0.4583,21350.75,3.3428,1.9966,-0.5934
2026-09-09,NIFTYOILANDGAS,-0.1426,11029,-2.2028,-0.0113,-1.4181
2026-09-09,NIFTYPSUBANK,-0.5129,8369.2002,-1.1166,-1.4536,-1.7105
2026-09-09,NIFTYPVTBANK,-0.9478,27214.3008,-0.6762,-2.5595,-2.193
2026-09-09,NIFTYSMALLCAP250,-0.5141,18431.9492,5.9083,4.016,-0.2676
2026-09-09,NIFTYSMALLCAP50,-0.3952,10018.3496,8.4259,7.3485,-0.0115
2026-09-09,NIFTYTOTALMKT,-0.615,12993.5,0.0354,0.1156,-1.1758
2026-09-10,BANKNIFTY,0.3133,56471.9492,-0.7342,-1.8611,-1.5648
2026-09-10,CNXENERGY,-0.2876,38223.3984,-0.0799,-3.8175,0.4086
2026-09-10,CNXINFRA,0.153,9133.4502,-1.7805,-2.7549,-0.6996
2026-09-10,CNXIT,-0.0799,28890.9004,-5.6032,9.8553,-5.878
2026-09-10,CNXPHARMA,-0.5093,26555.8496,6.8726,4.8544,0.2936
2026-09-10,CNXREALTY,-0.0172,872.05,2.22,5.1233,-3.9487
2026-09-10,CNXSMALLCAP,-0.0746,20021.9492,7.0685,6.1435,-0.3658
2026-09-10,INDIAVIX,-1.0067,11.8,-14.3425,-13.2353,10.4869
2026-09-10,NIFTY,0.1976,23477.8008,-2.934,-1.6255,-1.7571
2026-09-10,NIFTY100,0.0761,24643.0508,-2.0445,-1.0939,-1.519
2026-09-10,NIFTY200,-0.0164,13707.8496,-1.3086,-0.6922,-1.4426
2026-09-10,NIFTY500,-0.0279,22952.3496,-0.465,-0.1883,-1.2978
2026-09-10,NIFTYAUTO,-0.4065,27540.9492,0.9503,4.0074,-0.6133
2026-09-10,NIFTYCHEMICALS,-0.0297,30088.3008,2.5157,1.5965,-0.0448
2026-09-10,NIFTYCOMMODITIES,-0.2947,9709.9004,-0.8052,-0.8481,-0.9583
2026-09-10,NIFTYCONSUMPTION,-0.1466,11514.75,-1.3085,-0.0013,-0.7152
2026-09-10,NIFTYFINSERVICE,0.5655,25520.3008,-2.7396,-3.8948,-2.0372
2026-09-10,NIFTYFMCG,-0.2729,45185.6016,-8.2343,-7.3955,-1.5409
2026-09-10,NIFTYHEALTHCARE,-0.3769,16518.6504,4.8125,2.3476,0.6741
2026-09-10,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-10,NIFTYINDDEFENCE,-0.9745,9795.7002,7.5523,2.9025,0.8946
2026-09-10,NIFTYLARGEMID250,-0.1543,16433.9004,-0.1374,-0.2576,-1.3269
2026-09-10,NIFTYMEDIA,0.547,1534.8,1.8565,3.8149,-1.9579
2026-09-10,NIFTYMETAL,-0.6456,13304.9502,6.0286,6.2768,-0.0939
2026-09-10,NIFTYMICROCAP250,-0.1946,26623.4004,9.1441,5.8839,0.594
2026-09-10,NIFTYMIDCAP150,-0.3771,22904.25,1.6677,0.5708,-1.1399
2026-09-10,NIFTYMIDCAP50,-0.3635,17928.6992,2.3554,1.8971,-1.098
2026-09-10,NIFTYMIDSELECT,-0.5211,14528.2998,1.8677,0.7067,-1.2597
2026-09-10,NIFTYMIDSMALLCAP400,-0.2438,21298.6992,3.1076,1.748,-0.8357
2026-09-10,NIFTYOILANDGAS,0.0082,11029.9004,-2.1953,-0.0032,-1.41
2026-09-10,NIFTYPSUBANK,0.3901,8401.8496,-0.7555,-1.0692,-1.3271
2026-09-10,NIFTYPVTBANK,0.3366,27305.9004,-0.3634,-2.2315,-1.8638
2026-09-10,NIFTYSMALLCAP250,0.0079,18433.4004,5.9161,4.0242,-0.2597
2026-09-10,NIFTYSMALLCAP50,-0.1248,10005.8496,8.3001,7.2145,-0.1362
2026-09-10,NIFTYTOTALMKT,-0.0358,12988.8496,0.002,0.0797,-1.2112
2026-09-11,BANKNIFTY,0.2384,56606.5508,-0.5128,-1.6272,-1.3301
2026-09-11,CNXENERGY,-0.754,37935.1992,-0.7851,-4.5427,-0.3485
2026-09-11,CNXINFRA,-0.6164,9077.1504,-2.3478,-3.3544,-1.3117
2026-09-11,CNXIT,0.1059,28921.5,-5.5093,9.9716,-5.7783
2026-09-11,CNXPHARMA,-0.0883,26532.4004,6.7847,4.7618,0.2051
2026-09-11,CNXREALTY,-2.7005,848.5,-0.363,2.2844,-6.5426
2026-09-11,CNXSMALLCAP,-0.5776,19906.3008,6.4925,5.5304,-0.9413
2026-09-11,INDIAVIX,4.1525,12.29,-10.9898,-9.6324,15.0749
2026-09-11,NIFTY,-0.3395,23398.0996,-3.243,-1.9595,-2.0906
2026-09-11,NIFTY100,-0.3916,24546.5508,-2.404,-1.4812,-1.9046
2026-09-11,NIFTY200,-0.3644,13657.9004,-1.6454,-1.0541,-1.8018
2026-09-11,NIFTY500,-0.374,22866.5,-0.8135,-0.5616,-1.667
2026-09-11,NIFTYAUTO,-0.8585,27304.5,0.1396,3.1144,-1.4666
2026-09-11,NIFTYCHEMICALS,-1.018,29782,1.5404,0.5622,-1.0624
2026-09-11,NIFTYCOMMODITIES,-1.3399,9579.7998,-2.0503,-2.1766,-2.2853
2026-09-11,NIFTYCONSUMPTION,-0.4703,11460.5996,-1.7432,-0.4716,-1.1821
2026-09-11,NIFTYFINSERVICE,0.0984,25545.4004,-2.6499,-3.8003,-1.9408
2026-09-11,NIFTYFMCG,-0.2918,45053.75,-8.4862,-7.6658,-1.8282
2026-09-11,NIFTYHEALTHCARE,-0.1607,16492.0996,4.6554,2.1831,0.5122
2026-09-11,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-11,NIFTYINDDEFENCE,-0.7335,9723.8496,6.8178,2.1477,0.1545
2026-09-11,NIFTYLARGEMID250,-0.3179,16381.6504,-0.4345,-0.5748,-1.6407
2026-09-11,NIFTYMEDIA,0.1564,1537.2,2.0053,3.9773,-1.8046
2026-09-11,NIFTYMETAL,-2.2991,12999.0498,3.7541,3.8333,-2.3909
2026-09-11,NIFTYMICROCAP250,0.1025,26650.6992,9.2481,5.9925,0.6971
2026-09-11,NIFTYMIDCAP150,-0.2462,22847.8496,1.4337,0.3232,-1.3834
2026-09-11,NIFTYMIDCAP50,0.0059,17929.75,2.361,1.9031,-1.0922
2026-09-11,NIFTYMIDSELECT,0.3882,14584.7002,2.237,1.0976,-0.8764
2026-09-11,NIFTYMIDSMALLCAP400,-0.3369,21226.9492,2.7833,1.4052,-1.1698
2026-09-11,NIFTYOILANDGAS,-0.8423,10937,-2.9675,-0.8454,-2.2404
2026-09-11,NIFTYPSUBANK,-0.6183,8349.9004,-1.3301,-1.6809,-1.9372
2026-09-11,NIFTYPVTBANK,0.4765,27436,0.0807,-1.7657,-1.3963
2026-09-11,NIFTYSMALLCAP250,-0.5072,18339.9004,5.4154,3.4966,-0.7656
2026-09-11,NIFTYSMALLCAP50,-0.5762,9948.2002,7.7195,6.5968,-0.7116
2026-09-11,NIFTYTOTALMKT,-0.3515,12943.2002,-0.3269,-0.272,-1.5584
