date,time,group,close,yearhigh,market cap,market cap category,industry,sector,weekly return,current vol multiple of yearly avg
2026-09-04,15:29,ORIENTBELL,420.1,420.1,617.9871,smallcap,ceramics - tiles / sanitaryware,building materials,10.7713,3.3443
2026-09-04,15:29,PAISALO,74.1,74.1,6739.5571,midcap,finance & investments,financials,9.6803,2.9169
2026-09-04,15:29,PREMIERPOL,95.36,95.36,998.8242,smallcap,plastics products,plastic products,1.5981,4.1128
2026-09-04,15:29,PTCIL,23830,23830,35727.2443,largecap,castings & forgings,industrials,7.7793,3.0142
2026-09-04,15:29,PVP,67.94,68.48,1769.1826,smallcap,construction,realty,4.1705,3.7265
2026-09-04,15:29,QPOWER,1495.3,1495.3,11580.2163,midcap,electric equipment,industrials,4.4788,0.3094
2026-09-04,15:29,RBLBANK,414.35,414.35,64164.5021,largecap,banks - private sector,bank,8.4686,1.1075
2026-09-04,15:29,RBZJEWEL,200.69,200.69,802.76,smallcap,diamond cutting / jewellery,consumer discretionary,37.2709,26.2744
2026-09-04,15:29,RCOM,0.81,1.48,224.0082,smallcap,telecommunications - service provider,telecom-service,0,1.0763
2026-09-04,15:29,ROLLT,4.37,4.37,109.3068,smallcap,packaging,industrials,5.0481,1.118
2026-09-04,15:29,ROSSTECH,1150.5,1150.5,4336.9794,smallcap,engineering,aerospace & defence,4.1554,1.1108
2026-09-04,15:29,RUBYMILLS,428.3,428.3,1432.2352,smallcap,textiles - composite,textiles,9.708,0.5245
2026-09-04,15:29,SADHNANIQ,2.72,3.32,824.7569,smallcap,chemicals,chemicals,-4.5614,0.0968
2026-09-04,15:29,SAHYADRI,392.15,392.15,429.2592,smallcap,cement products,building materials,14.1298,12.0858
2026-09-04,15:29,SAKAR,1013.9,1013.9,2255.9184,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,15.7817,0.7933
2026-09-04,15:29,SBC,45.76,45.76,2179.0454,smallcap,textiles - products,textiles,9.1343,1.1645
2026-09-04,15:29,SEAMECLTD,1793.6,1793.6,4560.228,smallcap,miscellaneous,miscellaneous,6.9784,1.6709
2026-09-04,15:29,SETL,408.95,408.95,8158.2115,midcap,engineering,industrials,12.2872,2.6127
2026-09-04,15:29,SHANTIGEAR,621.75,621.75,4769.8082,smallcap,engineering,industrials,20.0869,15.3507
2026-09-04,15:29,SHILPAMED,964.15,964.15,18857.0208,midcap,pharmaceuticals - indian - formulations,healthcare,6.6774,0.7393
2026-09-04,15:29,SHREEJISPG,680.15,680.15,11080.885,midcap,shipping,transportation,4.2376,2.1675
2026-09-04,15:29,SIKKO,5.41,6.21,236.3088,smallcap,pesticides / agrochemicals - indian,chemicals,5.6641,0.1267
2026-09-04,15:29,SKIPPER,591.1,591.1,7218.9528,midcap,engineering,industrials,8.2105,16.8174
2026-09-04,15:29,SMLMAH,6298.5,6298.5,9114.9662,midcap,automobiles - lcvs / hcvs,auto,21.4403,4.1245
2026-09-04,15:29,SREEL,265.52,265.52,614.8119,smallcap,trading,consumer discretionary,6.4294,1.7603
2026-09-04,15:29,SSWL,361.85,361.85,5687.5737,midcap,auto ancillaries,auto,22.4535,1.5943
2026-09-04,15:29,STLTECH,748.9,748.9,38485.6816,largecap,cables - telephone,industrials,3.475,0.0711
2026-09-04,15:29,SUTLEJTEX,40.89,40.89,669.8952,smallcap,textiles - cotton/blended,textiles,4.0458,1.4073
2026-09-04,15:29,SYNCOMF,20.58,21.39,1934.52,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,5.7554,6.0491
2026-09-04,15:29,TBZ,480.85,480.85,3208.7419,smallcap,diamond cutting / jewellery,consumer discretionary,59.3802,2.8069
2026-09-04,15:29,VIJIFIN,16.58,16.58,366.418,smallcap,finance & investments,financials,10.2394,0.0701
2026-09-04,15:29,VISHNU,702,702,4725.5329,smallcap,chemicals,chemicals,7.6357,5.4213
2026-09-04,15:29,WELENT,813.6,813.6,11261.3476,midcap,construction,realty,21.3785,9.887
2026-09-04,15:29,WELSPUNLIV,208.51,208.51,19699.0347,midcap,textiles - products,textiles,9.477,1.7607
2026-09-04,15:29,WINDLAS,1126.35,1127.1,2324.3617,smallcap,pharmaceuticals - indian - formulations,healthcare,12.7986,2.868
2026-09-07,15:29,AEROENTER,154.73,154.73,1604.7815,smallcap,steel - medium / small,metals & mining,9.1108,5.9366
2026-09-07,15:29,AEROFLEX,558.15,558.15,7112.1171,midcap,steel - medium / small,metals & mining,3.8515,0.722
2026-09-07,15:29,AKSHARCHEM,463.9,463.9,357.3524,smallcap,dyes and pigments,chemicals,4.2823,6.1849
2026-09-07,15:29,AKSHOPTFBR,7.8,8.6,120.8846,smallcap,cables - telephone,industrials,4.9798,2.4781
2026-09-07,15:29,ANANDRATHI,2224,2224,36793.0846,largecap,finance & investments,financials,0.3655,0.5191
2026-09-07,15:29,ANUHPHR,90.29,90.4,812.8166,smallcap,pharmaceuticals - indian - bulk drugs,healthcare,11.3317,18.5217
2026-09-07,15:29,ARTEMISMED,343.5,343.5,5268.4319,midcap,healthcare,healthcare,3.2151,3.3798
2026-09-07,15:29,BALAMINES,2566.8,2566.8,8181.9005,midcap,chemicals,chemicals,1.6474,1.5867
2026-09-07,15:29,BHAGERIA,319.85,319.85,1329.6199,smallcap,dyes and pigments,chemicals,4.9893,0.6766
2026-09-07,15:29,BLISSGVS,691.35,691.35,7116.3725,midcap,pharmaceuticals - indian - formulations,healthcare,3.0328,0.2421
2026-09-07,15:29,BODALCHEM,171.18,171.18,1959.9415,smallcap,dyes and pigments,chemicals,9.9987,9.0724
2026-09-07,15:29,BOSCH-HCIL,1849.1,1849.1,4945.478,smallcap,air-conditioners,consumer discretionary,1.6659,1.9501
2026-09-07,15:29,BTML,8.49,9.45,154.6248,smallcap,entertainment / electronic media software,media,-0.235,1.2848
2026-09-07,15:29,CENTUM,4376.8999,4376.8999,5560.1641,midcap,electronics - components,aerospace & defence,16.1813,12.9846
2026-09-07,15:29,CINELINE,98.71,98.71,362.9462,smallcap,entertainment / electronic media software,media,3.6543,14.1513
2026-09-07,15:29,CUB,238.48,238.48,23383.5696,largecap,banks - private sector,bank,1.0466,1.8095
2026-09-07,15:29,CYIENTDLM,865.35,865.35,6802.7577,midcap,electronics - components,aerospace & defence,0.9802,0.4272
2026-09-07,15:29,DICIND,625.35,625.35,567.8115,smallcap,chemicals,chemicals,1.0912,2.0556
2026-09-07,15:29,DOLPHIN,720.4,720.4,2696.3087,smallcap,oil drilling / allied services,energy,6.8843,3.3877
2026-09-07,15:29,ELGIEQUIP,642.4,642.4,20348.7279,largecap,compressors / drilling equipment,industrials,0.0467,1.3765
2026-09-07,15:29,ENTERO,1898.4,1898.4,7954.2766,midcap,trading,healthcare,3.8739,2.1174
2026-09-07,15:29,ESSENTIA,1.1,1.93,184.3047,smallcap,trading,services,4.7619,0.999
2026-09-07,15:29,EXICOM,184.33,184.33,2473.5337,smallcap,electric equipment,industrials,3.6435,2.0094
2026-09-07,15:29,FCL,56.66,56.66,5998.3441,midcap,chemicals,chemicals,9.9981,3.4482
2026-09-07,15:29,FILATFASH,0.18,0.64,150.0133,smallcap,textiles - products,textiles,0,0.6831
2026-09-07,15:29,GANESHBE,129.39,129.39,887.1256,smallcap,miscellaneous,miscellaneous,4.9988,1.0148
2026-09-07,15:29,GATECH,0.87,1.1,145.3945,smallcap,computers - software - medium / small,i.t,-4.3956,0.4992
2026-09-07,15:29,GEOJITFSL,82.78,83.7,2308.8982,smallcap,finance & investments,financials,0.0725,0.1981
2026-09-07,15:29,GLAND,2974.3,2974.3,48372.7771,largecap,pharmaceuticals - indian - formulations,healthcare,1.4289,2.8105
2026-09-07,15:29,GLOBAL,120.15,120.45,613.1086,smallcap,miscellaneous,services,-0.2491,1.1351
2026-09-07,15:29,GTLINFRA,1.2,1.61,1485.857,smallcap,transmisson line towers / equipment,telecom,3.4483,1.2867
2026-09-07,15:29,GUFICBIO,448,448,4461.5687,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,0.6968,3.3598
2026-09-07,15:29,HARSHA,455.45,455.9,4136.5889,smallcap,engineering,industrials,0.2421,1.2256
2026-09-07,15:29,HINDOILEXP,188.85,188.85,2446.5008,smallcap,oil drilling / allied services,energy,2.0811,2.589
2026-09-07,15:29,IDEA,15.6,15.6,162731.2386,largecap,telecommunications - service provider,telecom-service,3.8615,0.9552
2026-09-07,15:29,IFCI,102.51,102.51,27314.9587,largecap,finance - term-lending institutions,financials,1.1146,5.8056
2026-09-07,15:29,IL&FSENGG,37,37.57,481.87,smallcap,construction,realty,0.6803,0.987
2026-09-07,15:29,INDORAMA,73.56,73.88,1905.0815,smallcap,textiles - manmade,textiles,0.8224,6.0817
2026-09-07,15:29,IOLCP,213.04,213.04,5869.0826,midcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,6.5466,2.8748
2026-09-07,15:29,IVC,10.28,10.28,321.5695,smallcap,finance & investments,financials,0.3906,2.675
2026-09-07,15:29,IVP,212.46,212.46,209.9742,smallcap,chemicals,chemicals,4.4851,2.2651
2026-09-07,15:29,JINDWORLD,58.52,58.52,5765.9641,midcap,textiles - products,textiles,1.7562,15.2639
2026-09-07,15:29,KABRAEXTRU,634.5,634.5,2025.4518,smallcap,engineering,industrials,9.5571,7.3482
2026-09-07,15:29,KAMDHENU,39.88,39.88,1106.1089,smallcap,steel - medium / small,metals & mining,1.631,0.5713
2026-09-07,15:29,KENNAMET,4693,4693,10304.4978,midcap,castings & forgings,industrials,0.096,1.7011
2026-09-07,15:29,KOPRAN,245.87,245.87,1122.8335,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,5.7323,4.9273
2026-09-07,15:29,KRN,1625.4,1625.4,10333.9312,midcap,engineering,industrials,2.9581,0.5208
2026-09-07,15:29,LANCORHOL,40.12,40.35,296.7765,smallcap,construction,realty,-0.57,5.9832
2026-09-07,15:29,LOTUSDEV,199.71,200.12,9444.5857,midcap,construction,realty,3.3428,0.8189
2026-09-07,15:29,MAHSEAMLES,688.95,688.95,9220.4885,midcap,steel - medium / small,metals & mining,0.1235,4.8574
2026-09-07,15:29,MANINDS,819.4,819.4,5914.8797,midcap,steel - medium / small,metals & mining,3.9122,0.8286
2026-09-07,15:29,MANORAMA,2003.6,2003.6,11902.2984,midcap,food - processing - indian,fmcg,0.5117,1.0254
2026-09-07,15:29,MARALOVER,64.26,64.26,256.644,smallcap,textiles - cotton/blended,textiles,3.9301,3.3929
2026-09-07,15:29,MARKSANS,335.05,335.05,14807.1254,midcap,pharmaceuticals - indian - formulations,healthcare,2.5402,1.4557
2026-09-07,15:29,MMP,444.95,444.95,764.6833,smallcap,aluminium and aluminium products,metals & mining,10.0953,9.64
2026-09-07,15:29,MOLDTECH,219.18,219.18,601.9117,smallcap,engineering - turnkey services,realty,4.8909,1.3987
2026-09-07,15:29,MOREPENLAB,118.88,118.88,6232.4254,midcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,4.5191,2.5395
2026-09-07,15:29,MOTOGENFIN,31.37,31.37,111.1858,smallcap,miscellaneous,realty,9.2651,12.8148
2026-09-07,15:29,MSTCLTD,785.65,785.65,5168.768,midcap,trading,i.t,7.0076,1.9511
2026-09-07,15:29,MUKKA,32.15,32.15,940.2,smallcap,food - processing - indian,fmcg,2.5846,9.4086
2026-09-07,15:29,MVGJL,215.88,215.88,878.7655,smallcap,diamond cutting / jewellery,consumer discretionary,20,33.5938
2026-09-07,15:29,NDL,2.98,3.62,407.9365,smallcap,textiles - products,textiles,5.3004,1.5338
2026-09-07,15:29,NIACL,231.2,231.2,37889.168,largecap,finance & investments,financials,0.5611,7.052
2026-09-07,15:29,NITIRAJ,231.04,231.04,224.6917,smallcap,electronics - components,consumer discretionary,5.4063,3.0171
2026-09-07,15:29,NRAIL,589.95,589.95,993.9154,smallcap,paper,building materials,1.0188,8.3978
2026-09-07,15:29,NRL,132.78,132.78,876.6237,smallcap,trading,services,4.6171,3.2374
2026-09-07,15:29,OAL,537.35,537.35,1749.6494,smallcap,chemicals,chemicals,3.3564,4.4225
2026-09-07,15:29,PAISALO,79.41,79.41,6739.5571,midcap,finance & investments,financials,7.166,3.2447
2026-09-07,15:29,PITTIENG,1176.2,1176.2,4085.0378,smallcap,engineering,industrials,8.4155,25.5344
2026-09-07,15:29,PKTEA,963.15,963.15,248.4907,smallcap,tea,fmcg,19.9963,17.7231
2026-09-07,15:29,PPLPHARMA,219.66,219.66,28520.1396,largecap,pharmaceuticals - indian - bulk drugs & formln,healthcare,2.5394,1.3113
2026-09-07,15:29,RANASUG,14.99,15.92,227.2804,smallcap,sugar,fmcg,1.2838,1.804
2026-09-07,15:29,RATNAVEER,306.45,306.45,2176.7281,smallcap,steel - medium / small,metals & mining,0.5578,1.4566
2026-09-07,15:29,RAYMOND,772.4,772.4,4932.1149,smallcap,transport - airlines,transportation,4.2586,5.466
2026-09-07,15:29,RBLBANK,415,415,64164.5021,largecap,banks - private sector,bank,0.1569,0.4964
2026-09-07,15:29,RCOM,0.85,1.48,224.0082,smallcap,telecommunications - service provider,telecom-service,4.9383,1.5135
2026-09-07,15:29,REDINGTON,378.2,378.2,29027.2846,largecap,trading,services,1.8583,0.7769
2026-09-07,15:29,RGL,153.1,153.1,1602.5818,smallcap,diamond cutting / jewellery,consumer discretionary,2.5727,1.0895
2026-09-07,15:29,RISHABH,809.95,809.95,2846.4303,smallcap,electric equipment,industrials,9.6824,4.7672
2026-09-07,15:29,RML,1388.2,1388.2,3581.4966,smallcap,auto ancillaries,auto,7.1225,18.8591
2026-09-07,15:29,ROLLT,4.58,4.58,109.3068,smallcap,packaging,industrials,4.8055,2.3465
2026-09-07,15:29,RUBYMILLS,457,457,1432.2352,smallcap,textiles - composite,textiles,6.7009,3.8907
2026-09-07,15:29,SADHNANIQ,2.77,3.32,824.7569,smallcap,chemicals,chemicals,1.8382,0.3275
2026-09-07,15:29,SAHYADRI,394.55,394.55,429.2592,smallcap,cement products,building materials,0.612,4.8084
2026-09-07,15:29,SAKAR,1109.2,1109.2,2255.9184,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,9.3993,3.026
2026-09-07,15:29,SALSTEEL,81.8,82.43,1177.9666,smallcap,steel - sponge iron,metals & mining,0.5285,3.0074
2026-09-07,15:29,SAMBHV,133.53,133.53,3792.1266,smallcap,steel - medium / small,metals & mining,3.761,1.8617
2026-09-07,15:29,SBC,46.87,46.87,2179.0454,smallcap,textiles - products,textiles,2.4257,0.8678
2026-09-07,15:29,SHANTIGEAR,640,640,4769.8082,smallcap,engineering,industrials,2.9353,4.0674
2026-09-07,15:29,SHANTIGOLD,270.72,270.72,1967.1396,smallcap,diamond cutting / jewellery,consumer discretionary,5.6097,3.5992
2026-09-07,15:29,SHREEJISPG,699.8,699.8,11080.885,midcap,shipping,transportation,2.8891,1.3061
2026-09-07,15:29,SHREEPUSHK,514.9,514.9,1536.8488,smallcap,dyes and pigments,chemicals,8.343,1.875
2026-09-07,15:29,SIKKO,5.56,6.21,236.3088,smallcap,pesticides / agrochemicals - indian,chemicals,2.7726,0.5438
2026-09-07,15:29,SKIPPER,604.4,604.4,7218.9528,midcap,engineering,industrials,2.2501,6.9387
2026-09-07,15:29,SMLMAH,6393.5,6393.5,9114.9662,midcap,automobiles - lcvs / hcvs,auto,1.5083,2.3777
2026-09-07,15:29,SOLARA,697.05,697.05,3083.6439,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,9.0589,8.9965
2026-09-07,15:29,SOLARINDS,21950,21950,194055.9229,largecap,chemicals,aerospace & defence,2.3549,1.52
2026-09-07,15:29,SREEL,279.4,279.4,614.8119,smallcap,trading,consumer discretionary,5.2275,5.8333
2026-09-07,15:29,SSWL,371.3,371.3,5687.5737,midcap,auto ancillaries,auto,2.6116,4.3393
2026-09-07,15:29,STLTECH,786.3,786.3,38485.6816,largecap,cables - telephone,industrials,4.994,0.1289
2026-09-07,15:29,STOVEKRAFT,849.25,849.25,2756.35,smallcap,domestic appliances,consumer discretionary,2.0059,0.7731
2026-09-07,15:29,SUTLEJTEX,40.75,40.89,669.8952,smallcap,textiles - cotton/blended,textiles,-0.3424,1.3399
2026-09-07,15:29,SYRMA,1634.8,1634.8,28101.1866,largecap,electronics - components,consumer discretionary,12.1801,8.17
2026-09-07,15:29,TBZ,528.9,528.9,3208.7419,smallcap,diamond cutting / jewellery,consumer discretionary,9.9927,0.2565
2026-09-07,15:29,TEXINFRA,119.26,119.26,1465.6606,smallcap,construction,realty,3.6863,2.787
2026-09-07,15:29,UNIPARTS,902.1,902.1,3945.7339,smallcap,engineering,industrials,3.2092,0.8008
2026-09-07,15:29,UNIVPHOTO,514.9,515.8,536.8215,smallcap,photographic and allied products,consumer discretionary,4.9959,0.4692
2026-09-07,15:29,VALIANTLAB,108.7,108.7,575.5496,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,2.5762,2.1975
2026-09-07,15:29,VIJIFIN,16.91,16.91,366.418,smallcap,finance & investments,financials,1.9903,0.0497
2026-09-07,15:29,VINDHYATEL,2765,2765,3238.4853,smallcap,construction,realty,1.182,4.1102
2026-09-07,15:29,VISHNU,726.5,726.5,4725.5329,smallcap,chemicals,chemicals,3.49,3.4534
2026-09-07,15:29,WELSPUNLIV,211.95,211.95,19699.0347,midcap,textiles - products,textiles,1.6498,1.4367
2026-09-07,15:29,WINDLAS,1154.75,1154.75,2324.3617,smallcap,pharmaceuticals - indian - formulations,healthcare,2.5214,4.0869
2026-09-07,15:29,WOCKPHARMA,2208,2208,33939.7393,largecap,pharmaceuticals - indian - bulk drugs & formln,healthcare,5.7117,3.4568
2026-09-07,15:29,WSTCSTPAPR,687.5,687.5,4294.8302,smallcap,paper,building materials,5.7286,4.6155
2026-09-08,15:29,AEROFLEX,573.5,573.5,7386.0418,midcap,steel - medium / small,metals & mining,6.7076,0.9931
2026-09-08,15:29,AKSHOPTFBR,8.19,8.6,126.9044,smallcap,cables - telephone,industrials,10.2288,2.6264
2026-09-08,15:29,ANANDRATHI,2229.5,2229.5,36927.578,largecap,finance & investments,financials,0.6138,0.2301
2026-09-08,15:29,ANTELOPUS,1099.15,1099.15,3464.5471,smallcap,oil drilling / allied services,energy,14.8357,19.7463
2026-09-08,15:29,ANTHEM,957.8,957.8,52591.9673,largecap,pharmaceuticals - indian - bulk drugs & formln,healthcare,2.5427,1.8537
2026-09-08,15:29,ANUHPHR,95.53,95.53,904.9225,smallcap,pharmaceuticals - indian - bulk drugs,healthcare,17.7928,27.0994
2026-09-08,15:29,ASIANENE,553.55,553.55,2488.865,smallcap,oil drilling / allied services,energy,6.9765,5.4686
2026-09-08,15:29,ASIANHOTNR,405.75,405.75,1631.3605,smallcap,hotels,services,5.4581,4.4083
2026-09-08,15:29,AYMSYNTEX,320.1,320.1,1851.2985,smallcap,textiles - processing,textiles,3.0254,3.0562
2026-09-08,15:29,BAIDFIN,12.05,12.47,176.5184,smallcap,finance & investments,financials,19.0711,8.6295
2026-09-08,15:29,BEPL,133.84,133.84,3156.5207,smallcap,petrochemicals,energy,4.9725,3.9433
2026-09-08,15:29,BHAGERIA,335.8,335.8,1395.9591,smallcap,dyes and pigments,chemicals,10.2248,1.2514
2026-09-08,15:29,BLISSGVS,722.3,722.3,7332.1969,midcap,pharmaceuticals - indian - formulations,healthcare,7.6453,0.1803
2026-09-08,15:29,BODALCHEM,184.05,184.05,2155.9105,smallcap,dyes and pigments,chemicals,18.2689,9.7739
2026-09-08,15:29,CHENNPETRO,1457.8,1457.8,21297.3084,largecap,refineries,energy,0.3856,0.4965
